Country,Pre_COVID_Avg,COVID_Avg,COVID_Impact_Main,COVID_Impact_Peak,Peak_COVID_Year,Long_Run_Mean,Long_Run_Max,Hyperinflation_Outlier,Outlier_Note
Afghanistan,2.6366666666666667,8.07,5.433333333333334,11.073333333333334,2022.0,15.253181818181817,71.5,0,
Albania,1.8,3.4333333333333336,1.6333333333333335,4.9,2022.0,14.59714285714286,226.0,0,
Algeria,3.9666666666666663,6.3,2.3333333333333335,5.333333333333334,2022.0,8.49111111111111,31.7,0,
Andorra,1.3666666666666665,2.6666666666666665,1.3,4.833333333333334,2022.0,2.069565217391305,6.2,0,
Angola,22.166666666666668,23.166666666666668,1.0,3.633333333333333,2021.0,249.81999999999996,4146.0,0,
Antigua and Barbuda,1.6666666666666667,3.4,1.7333333333333332,5.833333333333333,2022.0,3.2333333333333334,19.0,0,
Argentina,37.833333333333336,54.26666666666667,16.433333333333337,34.56666666666667,2022.0,25.758333333333336,121.7,0,
Armenia,1.7,5.666666666666667,3.966666666666667,6.8999999999999995,2022.0,291.196875,5273.4,0,
Aruba,2.1666666666666665,1.6333333333333335,-0.533333333333333,3.3333333333333335,2022.0,2.8947368421052637,9.0,0,
Australia,1.8333333333333333,3.433333333333333,1.5999999999999999,4.766666666666667,2022.0,4.051111111111111,11.4,0,
Austria,1.9333333333333336,4.266666666666667,2.333333333333333,6.666666666666666,2022.0,2.6933333333333334,8.6,0,
Azerbaijan,5.933333333333334,7.8,1.8666666666666663,7.966666666666667,2022.0,105.74375,1664.0,0,
"Bahamas, The",2.1,2.8333333333333335,0.7333333333333334,3.4999999999999996,2022.0,3.2244444444444444,12.2,0,
Bahrain,1.5,0.2333333333333334,-1.2666666666666666,2.1,2022.0,1.655555555555556,11.4,0,
Bangladesh,5.566666666666666,5.766666666666666,0.1999999999999993,0.5333333333333332,2022.0,7.431111111111112,14.9,0,
Barbados,-12.566666666666668,2.3333333333333335,14.900000000000002,17.56666666666667,2022.0,3.1599999999999993,18.5,0,
Belarus,5.5,10.066666666666666,4.566666666666666,9.7,2022.0,184.37352941176468,2220.9,0,
Belgium,1.9333333333333333,4.633333333333334,2.7,8.366666666666667,2022.0,2.877777777777778,10.3,0,
